,death-pref,death-mhlw,population,death-rate
2013/1/1,5960,5527,6193352,10.50739046
2013/2/1,4667,4664,6191228,9.820115077
2013/3/1,4429,4561,6188931,8.67711997
2013/4/1,4477,4242,6184553,8.345146367
2013/5/1,4383,4235,6191933,8.053011826
2013/6/1,3681,3930,6192788,7.721078132
2013/7/1,4414,4144,6191925,7.879982084
2013/8/1,4072,4185,6193348,7.956116789
2013/9/1,4225,4134,6192338,8.12245714
2013/10/1,4450,4402,6192994,8.369134541
2013/11/1,4478,4626,6194589,9.085832813
2013/12/1,4536,4953,6193644,9.41571402
2014/1/1,5936,5389,6191986,10.24729853
2014/2/1,4785,4725,6191034,9.948863146
2014/3/1,4797,4783,6188818,9.099632231
2014/4/1,4248,4214,6188661,8.284559993
2014/5/1,4212,4227,6194611,8.034324694
2014/6/1,4076,3965,6194940,7.787134877
2014/7/1,4188,4138,6195734,7.863735419
2014/8/1,4038,4245,6196701,8.065816249
2014/9/1,4315,4095,6196099,8.040946408
2014/10/1,4444,4396,6197784,8.351267943
2014/11/1,4278,4567,6199609,8.962688884
2014/12/1,4717,5231,6199316,9.935097106
2015/1/1,6428,5844,6198238,11.10128186
2015/2/1,4858,4782,6197214,10.05884027
2015/3/1,4954,4849,6195906,9.21464343
2015/4/1,4512,4418,6198470,8.671871177
2015/5/1,4154,4349,6205123,8.252208335
2015/6/1,4356,4091,6205407,8.021042509
2015/7/1,4517,4472,6207032,8.48299051
2015/8/1,4415,4446,6207615,8.432878733
2015/9/1,4384,4358,6206630,8.542853905
2015/10/1,4612,4667,6222666,8.830646107
2015/11/1,4755,4715,6224430,9.21623881
2015/12/1,4740,5088,6224742,9.624028879
2016/1/1,5511,5377,6224739,10.19854653
2016/2/1,5193,4936,6224035,10.00889682
2016/3/1,5029,4957,6223244,9.404191872
2016/4/1,4501,4655,6227997,9.118662067
2016/5/1,4683,4384,6235156,8.30123318
2016/6/1,4072,4064,6237228,7.949172293
2016/7/1,4000,4170,6239018,7.891130179
2016/8/1,4746,4524,6239077,8.560943726
2016/9/1,4459,4394,6239060,8.59212766
2016/10/1,4739,4807,6240408,9.09453563
2016/11/1,4785,4781,6242086,9.344344182
2016/12/1,4972,5347,6242932,10.11209105
2017/1/1,6289,5975,6242474,11.26969955
2017/2/1,5238,5177,6240759,10.81373161
2017/3/1,5427,5346,6239522,10.08808667
2017/4/1,4477,4653,6244033,9.066495965
2017/5/1,4938,4625,6250840,8.711732369
2017/6/1,4345,4288,6252765,8.343615451
2017/7/1,4443,4508,6254216,8.48676549
2017/8/1,4603,4569,6255072,8.600427033
2017/9/1,4319,4393,6255091,8.544746458
2017/10/1,4995,4907,6255876,9.235472017
2017/11/1,5118,5088,6258095,9.891828104
2017/12/1,5020,5480,6258689,10.30928053
2018/1/1,6418,6061,6257886,11.40375314
2018/2/1,5471,5373,6256278,11.1952974
2018/3/1,5177,5166,6254248,9.725467214
2018/4/1,4881,4608,6256195,8.961357502
2018/5/1,4881,4525,6263969,8.505505983
2018/6/1,4230,4301,6266592,8.350445239
2018/7/1,4715,4651,6267917,8.736837803
2018/8/1,4803,4740,6268926,8.90258992
2018/9/1,4380,4642,6268767,9.009374039
2018/10/1,5235,4897,6268585,9.19796506
2018/11/1,5025,5019,6271120,9.737415326
2018/12/1,5083,5578,6270946,10.47313302
2019/1/1,6806,6408,6270118,12.03311202
2019/2/1,5533,5379,6268158,11.18655706
2019/3/1,5011,5162,6266203,9.699396444
2019/4/1,4845,4930,6267517,9.570243953
2019/5/1,5283,4773,6276364,8.953946235
2019/6/1,4294,4627,6278060,8.966968565
2019/7/1,5014,4781,6277952,8.966685211
2019/8/1,4859,4905,6278738,9.198093527
2019/9/1,4826,4772,6277759,9.248417044
2019/10/1,5198,5177,6279026,9.707715815
2019/11/1,5170,5268,6279964,10.20610946
2019/12/1,5325,5799,6279174,10.87381053
2020/1/1,6656,5927,6278741,11.14504304
2020/2/1,5003,5064,6277545,10.18091824
2020/3/1,5478,5387,6276005,10.13405101
2020/4/1,5243,5276,6280344,10.24899273
2020/5/1,4607,4807,6285143,9.029804557
2020/6/1,,,6284521,
2020/7/1,,,,
2020/8/1,,,,
2020/9/1,,,,
2020/10/1,,,,
2020/11/1,,,,
2020/12/1,,,,
