,death-pref,death-mhlw,population,death-rate
2013/1/1,,,,11.76421698
2013/2/1,,,,11.33431823
2013/3/1,,,,10.26775131
2013/4/1,,,,9.895568295
2013/5/1,,,,9.440165471
2013/6/1,,,,8.821406692
2013/7/1,,,,8.957355269
2013/8/1,,,,9.160490902
2013/9/1,,,,9.19722375
2013/10/1,,,,9.532194714
2013/11/1,,,,10.3959096
2013/12/1,,,,10.85507189
2014/1/1,,,,11.54143064
2014/2/1,,,,11.30728804
2014/3/1,,,,10.54120059
2014/4/1,,,,9.992475486
2014/5/1,,,,9.341817467
2014/6/1,,,,8.854549865
2014/7/1,,,,8.892619477
2014/8/1,,,,9.087050847
2014/9/1,,,,9.348049171
2014/10/1,,,,9.66551136
2014/11/1,,,,10.3579425
2014/12/1,,,,11.31997857
2015/1/1,,,,12.44493882
2015/2/1,,,,11.29765327
2015/3/1,,,,10.56337486
2015/4/1,,,,10.05516376
2015/5/1,,,,9.533217823
2015/6/1,,,,9.067421914
2015/7/1,,,,9.223195568
2015/8/1,,,,9.375186534
2015/9/1,,,,9.42276442
2015/10/1,,,,10.01460625
2015/11/1,,,,10.22253133
2015/12/1,,,,10.84259575
2016/1/1,,,,11.60601564
2016/2/1,,,,11.39813188
2016/3/1,,,,10.79687535
2016/4/1,,,,10.11337533
2016/5/1,,,,9.602413257
2016/6/1,,,,9.17123661
2016/7/1,,,,9.222866418
2016/8/1,,,,9.607476759
2016/9/1,,,,9.619082887
2016/10/1,,,,10.18500621
2016/11/1,,,,10.94088696
2016/12/1,,,,11.40115135
2017/1/1,,,,12.45163197
2017/2/1,,,,11.9769672
2017/3/1,,,,11.14136316
2017/4/1,,,,10.40034572
2017/5/1,,,,9.873116074
2017/6/1,,,,9.392447793
2017/7/1,,,,9.51057581
2017/8/1,,,,9.623315784
2017/9/1,,,,9.690494987
2017/10/1,,,,10.25930678
2017/11/1,,,,11.05734165
2017/12/1,,,,11.59799883
2018/1/1,,,,12.81432947
2018/2/1,,,,12.65409828
2018/3/1,,,,11.22094046
2018/4/1,,,,10.47883374
2018/5/1,,,,9.885147111
2018/6/1,,,,9.463112551
2018/7/1,,,,9.931842448
2018/8/1,,,,9.862062282
2018/9/1,,,,10.07431182
2018/10/1,,,,10.4593279
2018/11/1,,,,11.0142731
2018/12/1,,,,11.50093391
2019/1/1,,,,12.84302412
2019/2/1,,,,12.10248386
2019/3/1,,,,11.02438395
2019/4/1,,,,10.78489266
2019/5/1,,,,10.36716809
2019/6/1,,,,9.772080065
2019/7/1,,,,9.855826488
2019/8/1,,,,10.30463465
2019/9/1,,,,10.30265425
2019/10/1,,,,10.57166512
2019/11/1,,,,11.4191948
2019/12/1,,,,12.02209096
2020/1/1,,,,12.08498344
2020/2/1,,,,11.57345586
2020/3/1,,,,11.05925649
2020/4/1,,,,10.97980629
2020/5/1,,,,10.16348869
2020/6/1,,,,
2020/7/1,,,,
2020/8/1,,,,
2020/9/1,,,,
2020/10/1,,,,
2020/11/1,,,,
2020/12/1,,,,
