,death-pref,death-mhlw,population,death-rate
2013/1/1,,8050,8860000,10.69777179
2013/2/1,,7126,8857019,10.48800957
2013/3/1,,7310,8853792,9.721185548
2013/4/1,,6678,8846578,9.184229201
2013/5/1,,6671,8856334,8.86886664
2013/6/1,,5946,8856949,8.167936837
2013/7/1,,6318,8855448,8.400405585
2013/8/1,,6670,8855908,8.867963733
2013/9/1,,6192,8855058,8.507680017
2013/10/1,,6517,8854702,8.665725775
2013/11/1,,6978,8855310,9.587354932
2013/12/1,,7408,8853378,9.851971282
2014/1/1,,7992,8851637,10.63072908
2014/2/1,,7140,8848275,10.51899947
2014/3/1,,7211,8844190,9.599941846
2014/4/1,,6775,8838239,9.326424265
2014/5/1,,6529,8845054,8.691152103
2014/6/1,,5972,8844299,8.215386356
2014/7/1,,6281,8843918,8.362098074
2014/8/1,,6389,8843660,8.506130107
2014/9/1,,6155,8842752,8.468611732
2014/10/1,,6572,8843160,8.750265742
2014/11/1,,6861,8844396,9.43823637
2014/12/1,,7776,8842063,10.3546117
2015/1/1,,8645,8840576,11.51371848
2015/2/1,,7142,8837913,10.53428241
2015/3/1,,7400,8835680,9.86104434
2015/4/1,,6847,8833102,9.431020571
2015/5/1,,6647,8839305,8.853983941
2015/6/1,,6164,8839129,8.484470962
2015/7/1,,6585,8839476,8.771228579
2015/8/1,,6702,8839349,8.927200992
2015/9/1,,6445,8838452,8.871934437
2015/10/1,,6769,8839469,9.016323959
2015/11/1,,6712,8841229,9.236574086
2015/12/1,,7519,8840220,10.0144749
2016/1/1,8327,8057,8839308,10.76154159
2016/2/1,6762,7572,8836448,10.81473711
2016/3/1,8005,7755,8833628,10.36482771
2016/4/1,6635,6749,8830956,9.323769703
2016/5/1,7028,6555,8837395,8.757251466
2016/6/1,6402,6255,8837241,8.635161132
2016/7/1,6292,6447,8837996,8.612381534
2016/8/1,7181,6822,8837822,9.113513816
2016/9/1,6459,6311,8837399,8.712314562
2016/10/1,6849,6788,8837812,9.068103457
2016/11/1,7389,7206,8838910,9.94615852
2016/12/1,7478,7873,8837484,10.51794759
2017/1/1,9338,8806,8835598,11.73475167
2017/2/1,7961,7697,8831760,11.36080383
2017/3/1,8084,7867,8828649,10.49170498
2017/4/1,6728,6910,8826276,9.525157231
2017/5/1,7361,6848,8832433,9.12881846
2017/6/1,6591,6398,8832379,8.813291791
2017/7/1,6603,6678,8832461,8.902169454
2017/8/1,7037,6823,8832084,9.095851283
2017/9/1,6588,6629,8831119,9.132798837
2017/10/1,7274,7038,8831642,9.382940816
2017/11/1,7599,7413,8833572,10.21008263
2017/12/1,7443,7975,8832548,10.63104254
2018/1/1,9774,9134,8830955,12.17823937
2018/2/1,8406,8234,8827396,12.15942634
2018/3/1,7968,7904,8823591,10.54709197
2018/4/1,6936,7173,8819416,9.895383096
2018/5/1,7758,6940,8826303,9.257885575
2018/6/1,6496,6553,8826196,9.033128957
2018/7/1,7364,7250,8826569,9.67113079
2018/8/1,7340,7006,8826524,9.345694862
2018/9/1,6498,6830,8825396,9.415819226
2018/10/1,7770,7217,8824566,9.629295632
2018/11/1,7522,7361,8826783,10.14625978
2018/12/1,7413,7892,8825545,10.52874757
2019/1/1,9654,8871,8823885,11.83706168
2019/2/1,7795,7580,8820255,11.20270494
2019/3/1,7501,7669,8817436,10.24065163
2019/4/1,7059,7279,8813576,10.0482672
2019/5/1,8253,7446,8822936,9.936674726
2019/6/1,6554,6818,8823069,9.401755028
2019/7/1,7508,7033,8823358,9.38507802
2019/8/1,7271,7274,8823634,9.706373119
2019/9/1,7017,6899,8822977,9.513550056
2019/10/1,7714,7420,8823453,9.901397574
2019/11/1,7563,7675,8826278,10.57967658
2019/12/1,7720,8463,8825588,11.29046586
2020/1/1,9609,8465,8825075,11.80233779
2020/2/1,7590,7921,8822492,11.33109361
2020/3/1,8177,8049,8820577,10.77368624
2020/4/1,7705,7708,8819226,10.66279513
2020/5/1,,,,
2020/6/1,,,,
2020/7/1,,,,
2020/8/1,,,,
2020/9/1,,,,
2020/10/1,,,,
2020/11/1,,,,
2020/12/1,,,,
