,death-pref,death-mhlw,population,death-rate
2013/1/1,6644,6183,7209945,10.09714203
2013/2/1,5317,5340,7208952,9.65614895
2013/3/1,5083,5173,7208064,8.44996704
2013/4/1,4974,4842,7207748,8.173287967
2013/5/1,4892,4673,7216093,7.624736329
2013/6/1,4064,4264,7218043,7.187359048
2013/7/1,4755,4546,7218600,7.414939721
2013/8/1,4597,4727,7220559,7.708075359
2013/9/1,4606,4535,7221179,7.640834458
2013/10/1,5060,5002,7221806,8.155095295
2013/11/1,5093,5277,7223977,8.887555982
2013/12/1,5196,5702,7223725,9.293882535
2014/1/1,6687,6027,7223317,9.824165894
2014/2/1,5447,5449,7222977,9.834117863
2014/3/1,5290,5296,7222422,8.633686737
2014/4/1,5016,4974,7225484,8.375494292
2014/5/1,4837,4793,7231975,7.803360725
2014/6/1,4522,4468,7232967,7.515680172
2014/7/1,4653,4569,7234094,7.436493129
2014/8/1,4613,4819,7235651,7.841704735
2014/9/1,4803,4622,7235943,7.771527959
2014/10/1,5012,4911,7237734,7.989111581
2014/11/1,4909,5299,7240209,8.904600222
2014/12/1,5480,6042,7240300,9.825515161
2015/1/1,7378,6747,7239813,10.97272594
2015/2/1,5388,5258,7239072,9.468311092
2015/3/1,5551,5482,7238391,8.917192928
2015/4/1,5061,5014,7242442,8.423079766
2015/5/1,4796,4943,7249287,8.028353507
2015/6/1,4622,4342,7250286,7.286287281
2015/7/1,4893,4886,7252298,7.932480116
2015/8/1,4914,4962,7253414,8.054627571
2015/9/1,4758,4768,7253362,7.997762509
2015/10/1,5142,5174,7266534,8.383594905
2015/11/1,5201,5204,7269108,8.710192961
2015/12/1,5364,5785,7270646,9.368316058
2016/1/1,6454,6275,7270549,10.18980601
2016/2/1,5770,5550,7270239,9.634460103
2016/3/1,5569,5440,7270031,8.834501087
2016/4/1,4791,4999,7273668,8.384737934
2016/5/1,5165,4856,7280490,7.874762417
2016/6/1,4788,4747,7282510,7.952395534
2016/7/1,4578,4783,7284298,7.752326726
2016/8/1,5217,5034,7284648,8.158757626
2016/9/1,4906,4825,7286719,8.078395777
2016/10/1,5159,5296,7288081,8.579345886
2016/11/1,5521,5546,7290847,9.280293497
2016/12/1,5745,6115,7292051,9.900705798
2017/1/1,6893,6538,7291207,10.55787847
2017/2/1,5765,5729,7290543,10.24362755
2017/3/1,5959,5771,7289701,9.321215091
2017/4/1,5047,5292,7294490,8.826662316
2017/5/1,5411,5099,7300965,8.223106521
2017/6/1,4715,4665,7303019,7.771785887
2017/7/1,5031,5123,7305086,8.257150367
2017/8/1,5273,5251,7305660,8.462793276
2017/9/1,4961,4968,7306293,8.272868334
2017/10/1,5525,5487,7307579,8.84082129
2017/11/1,5746,5710,7310177,9.503417861
2017/12/1,5582,6131,7310632,9.874328327
2018/1/1,7422,7001,7310697,11.27541314
2018/2/1,6152,6068,7309416,10.8217557
2018/3/1,5804,5846,7308198,9.418455204
2018/4/1,5140,5328,7310878,8.866787272
2018/5/1,5629,5087,7318603,8.183983006
2018/6/1,4754,4901,7321018,8.144882765
2018/7/1,5397,5409,7321982,8.698001839
2018/8/1,5381,5239,7322419,8.424128693
2018/9/1,4987,5326,7322696,8.849154282
2018/10/1,5899,5547,7322645,8.919106636
2018/11/1,5807,5743,7325217,9.538716282
2018/12/1,5730,6231,7326058,10.01425323
2019/1/1,7478,6998,7325251,11.24818883
2019/2/1,6121,5995,7324383,10.66971882
2019/3/1,5814,5861,7323982,9.422271708
2019/4/1,5388,5612,7326981,9.318890459
2019/5/1,6055,5546,7333929,8.903778237
2019/6/1,4760,4924,7335344,8.167124359
2019/7/1,5418,5190,7336254,8.329600436
2019/8/1,5536,5625,7337045,9.026772864
2019/9/1,5430,5401,7336524,8.956852955
2019/10/1,5803,5708,7337330,9.159612117
2019/11/1,5798,5976,7339129,9.906897671
2019/12/1,6019,6545,7339069,10.75052857
2020/1/1,7506,6631,7338536,11.02208942
2020/2/1,5680,5863,7337835,10.08405115
2020/3/1,6229,6054,7337204,9.741620659
2020/4/1,5827,5832,7341794,9.691146333
2020/5/1,5314,,7347601,
2020/6/1,,,7346910,
2020/7/1,,,,
2020/8/1,,,,
2020/9/1,,,,
2020/10/1,,,,
2020/11/1,,,,
2020/12/1,,,,
