,death-city,death-mhlw,population,death-rate
2013/1/1,1803,1676,1932049,10.21379291
2013/2/1,1413,1388,1931750,9.366414613
2013/3/1,1307,1389,1931629,8.466612812
2013/4/1,1331,1311,1929157,8.268119184
2013/5/1,1458,1371,1935634,8.339603125
2013/6/1,1197,1301,1936394,8.174386686
2013/7/1,1514,1419,1936638,8.627105657
2013/8/1,1297,1328,1937421,8.070589217
2013/9/1,1417,1400,1937934,8.789429017
2013/10/1,1396,1392,1938331,8.455561728
2013/11/1,1350,1393,1939554,8.738177265
2013/12/1,1330,1476,1940029,8.957963864
2014/1/1,1810,1615,1940525,9.799060863
2014/2/1,1515,1491,1940249,10.01739983
2014/3/1,1476,1513,1940147,9.181961387
2014/4/1,1420,1415,1939137,8.878090271
2014/5/1,1450,1435,1943218,8.694839046
2014/6/1,1395,1396,1943748,8.738101167
2014/7/1,1472,1407,1944205,8.520855734
2014/8/1,1257,1368,1944920,8.281624321
2014/9/1,1490,1398,1945103,8.744524069
2014/10/1,1546,1528,1945504,9.247458624
2014/11/1,1432,1505,1946515,9.406982907
2014/12/1,1419,1597,1946584,9.659684399
2015/1/1,1917,1697,1946756,10.2636419
2015/2/1,1339,1305,1946466,8.739740197
2015/3/1,1457,1424,1946497,8.613653971
2015/4/1,1426,1441,1945570,9.011326586
2015/5/1,1422,1493,1949814,9.01566558
2015/6/1,1452,1344,1950051,8.385421715
2015/7/1,1427,1391,1951139,8.394021762
2015/8/1,1432,1435,1951600,8.657495256
2015/9/1,1303,1324,1951773,8.253350501
2015/10/1,1529,1568,1952356,9.456234152
2015/11/1,1574,1514,1952963,9.431992994
2015/12/1,1394,1587,1953127,9.567040526
2016/1/1,1826,1731,1953110,10.46380785
2016/2/1,1585,1519,1952879,9.816700157
2016/3/1,1595,1565,1952686,9.462400393
2016/4/1,1401,1451,1952405,9.066868811
2016/5/1,1602,1505,1956512,9.081830154
2016/6/1,1419,1417,1957110,8.833126396
2016/7/1,1356,1435,1957450,8.655269899
2016/8/1,1563,1469,1957633,8.859514229
2016/9/1,1526,1527,1958143,9.513809768
2016/10/1,1610,1655,1958405,9.97734249
2016/11/1,1603,1567,1958845,9.75952666
2016/12/1,1511,1663,1958983,10.02261328
2017/1/1,1968,1819,1958772,10.93402298
2017/2/1,1534,1517,1958157,10.09887285
2017/3/1,1640,1623,1957990,9.759761862
2017/4/1,1415,1504,1957685,9.347094485
2017/5/1,1594,1521,1961473,9.130152894
2017/6/1,1440,1407,1962064,8.724740885
2017/7/1,1554,1576,1962630,9.454726073
2017/8/1,1610,1583,1962622,9.496759125
2017/9/1,1404,1425,1962714,8.833431667
2017/10/1,1611,1589,1962918,9.531316921
2017/11/1,1573,1558,1963299,9.655007549
2017/12/1,1494,1546,1963570,9.270310315
2018/1/1,1966,1833,1963626,10.99094062
2018/2/1,1646,1624,1962987,10.78458492
2018/3/1,1688,1724,1962570,10.34292264
2018/4/1,1448,1536,1961225,9.528738416
2018/5/1,1696,1563,1965343,9.363792741
2018/6/1,1422,1432,1965889,8.862487489
2018/7/1,1511,1520,1965784,9.104140736
2018/8/1,1567,1500,1966073,8.98302877
2018/9/1,1459,1594,1966174,9.86365737
2018/10/1,1701,1603,1965940,9.600512863
2018/11/1,1684,1688,1966523,10.44347477
2018/12/1,1580,1726,1966717,10.3330871
2019/1/1,2056,1923,1966735,11.51236653
2019/2/1,1621,1583,1965956,10.49643823
2019/3/1,1673,1731,1965433,10.3697908
2019/4/1,1451,1614,1965161,9.992565495
2019/5/1,1801,1585,1968657,9.479608065
2019/6/1,1421,1514,1969197,9.354235931
2019/7/1,1689,1579,1969292,9.440677976
2019/8/1,1549,1607,1969676,9.606213932
2019/9/1,1538,1570,1969619,9.698153128
2019/10/1,1782,1721,1970052,10.2857118
2019/11/1,1574,1612,1970420,9.953546283
2019/12/1,1556,1737,1970462,10.37917716
2020/1/1,2029,1808,1970591,10.83231605
2020/2/1,1563,1630,1970277,10.44103146
2020/3/1,1785,1710,1969793,10.24931668
2020/4/1,1607,1636,1969686,10.13318874
2020/5/1,1610,1731,1973652,10.35489931
2020/6/1,1631,,1973412,
2020/7/1,1581,,1973362,
2020/8/1,,,1973271,
2020/9/1,,,,
2020/10/1,,,,
2020/11/1,,,,
2020/12/1,,,,
